Station Name,Date/Time (LST),Year,Month,Day,Hour,Temperature,Dew Point Temperature,Wind_Speed,Precipitation,Station Pressure,Humidity,Windchill
HAMILTON A,2018-01-01 00:00:00,2018,1,1,0,-23.8,-25.5,11,,100.08,86.0,-32.0
HAMILTON A,2018-01-01 01:00:00,2018,1,1,1,-22.8,-24.6,11,,100.07,85.0,-31.0
HAMILTON A,2018-01-01 02:00:00,2018,1,1,2,-22.8,-24.6,12,,100.06,86.0,-31.0
HAMILTON A,2018-01-01 03:00:00,2018,1,1,3,-23.4,-25.1,11,,100.06,86.0,-32.0
HAMILTON A,2018-01-01 04:00:00,2018,1,1,4,-21.9,-23.8,7,,100.03,85.0,-28.0
HAMILTON A,2018-01-01 05:00:00,2018,1,1,5,-20.7,-22.8,7,,99.98,84.0,-26.0
HAMILTON A,2018-01-01 06:00:00,2018,1,1,6,-21.1,-22.9,9,,99.95,85.0,-28.0
HAMILTON A,2018-01-01 07:00:00,2018,1,1,7,-20.8,-22.6,12,,99.93,85.0,-29.0
HAMILTON A,2018-01-01 08:00:00,2018,1,1,8,-20.0,-22.0,15,,99.91,84.0,-29.0
HAMILTON A,2018-01-01 09:00:00,2018,1,1,9,-17.8,-19.9,17,,99.88,84.0,-27.0
HAMILTON A,2018-01-01 10:00:00,2018,1,1,10,-15.2,-17.4,17,,99.9,84.0,-24.0
HAMILTON A,2018-01-01 11:00:00,2018,1,1,11,-13.1,-16.3,22,,99.89,77.0,-22.0
HAMILTON A,2018-01-01 12:00:00,2018,1,1,12,-11.7,-17.1,28,,99.83,65.0,-21.0
HAMILTON A,2018-01-01 13:00:00,2018,1,1,13,-11.5,-16.9,26,,99.76,65.0,-21.0
HAMILTON A,2018-01-01 14:00:00,2018,1,1,14,-12.0,-16.2,25,,99.73,71.0,-21.0
HAMILTON A,2018-01-01 15:00:00,2018,1,1,15,-11.7,-15.5,35,,99.73,74.0,-22.0
HAMILTON A,2018-01-01 16:00:00,2018,1,1,16,-11.2,-14.7,28,,99.76,76.0,-21.0
HAMILTON A,2018-01-01 17:00:00,2018,1,1,17,-11.4,-14.8,31,,99.82,76.0,-21.0
HAMILTON A,2018-01-01 18:00:00,2018,1,1,18,-12.2,-14.8,26,,99.91,81.0,-22.0
HAMILTON A,2018-01-01 19:00:00,2018,1,1,19,-12.2,-14.6,21,,99.95,82.0,-21.0
HAMILTON A,2018-01-01 20:00:00,2018,1,1,20,-12.1,-14.5,22,,99.97,82.0,-21.0
HAMILTON A,2018-01-01 21:00:00,2018,1,1,21,-12.0,-14.4,21,,99.99,82.0,-21.0
HAMILTON A,2018-01-01 22:00:00,2018,1,1,22,-12.3,-14.3,19,,100.01,85.0,-21.0
HAMILTON A,2018-01-01 23:00:00,2018,1,1,23,-12.1,-14.3,17,,100.03,84.0,-20.0
BURLINGTON PIERS (AUT),2018-01-01 00:00:00,2018,1,1,0,-15.7,-19.4,9,,102.18,74.0,-22.0
BURLINGTON PIERS (AUT),2018-01-01 01:00:00,2018,1,1,1,-15.5,-19.0,5,,102.19,74.0,-19.0
BURLINGTON PIERS (AUT),2018-01-01 02:00:00,2018,1,1,2,-15.5,-18.6,10,,102.19,77.0,-22.0
BURLINGTON PIERS (AUT),2018-01-01 03:00:00,2018,1,1,3,-15.9,-19.4,6,,102.18,74.0,-20.0
BURLINGTON PIERS (AUT),2018-01-01 04:00:00,2018,1,1,4,-16.1,-19.1,7,,102.13,78.0,-21.0
BURLINGTON PIERS (AUT),2018-01-01 05:00:00,2018,1,1,5,-15.5,-18.0,7,,102.07,81.0,-20.0
BURLINGTON PIERS (AUT),2018-01-01 06:00:00,2018,1,1,6,-14.3,-16.7,9,,102.02,82.0,-20.0
BURLINGTON PIERS (AUT),2018-01-01 07:00:00,2018,1,1,7,-15.0,-17.6,11,,101.98,81.0,-22.0
BURLINGTON PIERS (AUT),2018-01-01 08:00:00,2018,1,1,8,-14.7,-18.1,16,,101.96,75.0,-23.0
BURLINGTON PIERS (AUT),2018-01-01 09:00:00,2018,1,1,9,-13.7,-17.3,13,,101.94,74.0,-21.0
BURLINGTON PIERS (AUT),2018-01-01 10:00:00,2018,1,1,10,-12.5,-16.4,16,,101.95,73.0,-20.0
BURLINGTON PIERS (AUT),2018-01-01 11:00:00,2018,1,1,11,-10.5,-15.3,16,,101.93,68.0,-18.0
BURLINGTON PIERS (AUT),2018-01-01 12:00:00,2018,1,1,12,-9.5,-16.6,21,,101.84,56.0,-17.0
BURLINGTON PIERS (AUT),2018-01-01 13:00:00,2018,1,1,13,-9.2,-14.7,20,,101.78,64.0,-17.0
BURLINGTON PIERS (AUT),2018-01-01 14:00:00,2018,1,1,14,-8.9,-13.8,19,,101.73,68.0,-16.0
BURLINGTON PIERS (AUT),2018-01-01 15:00:00,2018,1,1,15,-8.8,-13.7,19,,101.74,68.0,-16.0
BURLINGTON PIERS (AUT),2018-01-01 16:00:00,2018,1,1,16,-9.5,-13.2,23,,101.81,75.0,-18.0
BURLINGTON PIERS (AUT),2018-01-01 17:00:00,2018,1,1,17,-9.5,-14.1,12,,101.85,69.0,-15.0
BURLINGTON PIERS (AUT),2018-01-01 18:00:00,2018,1,1,18,-9.6,-13.8,9,,101.94,71.0,-14.0
BURLINGTON PIERS (AUT),2018-01-01 19:00:00,2018,1,1,19,-9.5,-14.0,11,,102.0,70.0,-15.0
BURLINGTON PIERS (AUT),2018-01-01 20:00:00,2018,1,1,20,-9.9,-12.5,9,,102.03,81.0,-15.0
BURLINGTON PIERS (AUT),2018-01-01 21:00:00,2018,1,1,21,-10.1,-12.6,10,,102.08,82.0,-15.0
BURLINGTON PIERS (AUT),2018-01-01 22:00:00,2018,1,1,22,-10.7,-15.5,7,,102.1,68.0,-15.0
BURLINGTON PIERS (AUT),2018-01-01 23:00:00,2018,1,1,23,-11.1,-14.8,5,,102.11,74.0,-14.0
KITCHENER/WATERLOO,2018-01-01 02:00:00,2018,1,1,2,-26.4,-28.7,0,0.0,98.97,81.0,
KITCHENER/WATERLOO,2018-01-01 16:00:00,2018,1,1,16,-11.7,-13.5,17,0.0,98.7,87.0,-19.0
KITCHENER/WATERLOO,2018-01-01 00:00:00,2018,1,1,0,-23.7,-25.5,4,0.0,98.99,85.0,-28.0
KITCHENER/WATERLOO,2018-01-01 01:00:00,2018,1,1,1,-25.8,-28.4,0,0.0,98.98,79.0,
KITCHENER/WATERLOO,2018-01-01 03:00:00,2018,1,1,3,-25.4,-27.6,0,0.0,98.96,82.0,
KITCHENER/WATERLOO,2018-01-01 04:00:00,2018,1,1,4,-24.2,-26.5,0,0.0,98.91,82.0,
KITCHENER/WATERLOO,2018-01-01 05:00:00,2018,1,1,5,-24.0,-26.3,0,0.0,98.84,82.0,
KITCHENER/WATERLOO,2018-01-01 06:00:00,2018,1,1,6,-21.5,-23.3,4,0.0,98.81,86.0,-25.0
KITCHENER/WATERLOO,2018-01-01 07:00:00,2018,1,1,7,-20.4,-22.3,4,0.0,98.79,85.0,-24.0
KITCHENER/WATERLOO,2018-01-01 08:00:00,2018,1,1,8,-16.8,-18.2,15,0.0,98.76,89.0,-25.0
KITCHENER/WATERLOO,2018-01-01 09:00:00,2018,1,1,9,-15.0,-16.3,18,0.0,98.76,90.0,-24.0
KITCHENER/WATERLOO,2018-01-01 10:00:00,2018,1,1,10,-13.7,-15.1,21,0.0,98.77,89.0,-23.0
KITCHENER/WATERLOO,2018-01-01 11:00:00,2018,1,1,11,-12.9,-15.4,24,0.0,98.76,82.0,-22.0
KITCHENER/WATERLOO,2018-01-01 12:00:00,2018,1,1,12,-11.7,-15.3,28,0.0,98.69,75.0,-21.0
KITCHENER/WATERLOO,2018-01-01 13:00:00,2018,1,1,13,-11.6,-14.7,30,0.0,98.63,78.0,-22.0
KITCHENER/WATERLOO,2018-01-01 14:00:00,2018,1,1,14,-10.2,-13.6,22,0.0,98.58,76.0,-18.0
KITCHENER/WATERLOO,2018-01-01 15:00:00,2018,1,1,15,-10.0,-14.0,37,0.0,98.59,73.0,-20.0
KITCHENER/WATERLOO,2018-01-01 17:00:00,2018,1,1,17,-11.5,-13.4,28,0.2,98.72,86.0,-21.0
KITCHENER/WATERLOO,2018-01-01 18:00:00,2018,1,1,18,-11.5,-13.0,22,0.0,98.8,89.0,-20.0
KITCHENER/WATERLOO,2018-01-01 19:00:00,2018,1,1,19,-11.4,-12.7,15,0.0,98.84,90.0,-18.0
KITCHENER/WATERLOO,2018-01-01 20:00:00,2018,1,1,20,-11.2,-12.7,17,0.2,98.87,89.0,-19.0
KITCHENER/WATERLOO,2018-01-01 21:00:00,2018,1,1,21,-13.2,-14.9,13,0.2,98.9,87.0,-20.0
KITCHENER/WATERLOO,2018-01-01 22:00:00,2018,1,1,22,-13.8,-15.5,4,0.0,98.91,87.0,-17.0
KITCHENER/WATERLOO,2018-01-01 23:00:00,2018,1,1,23,-13.8,-15.4,4,0.0,98.9,88.0,-17.0
GUELPH TURFGRASS,2018-01-01 03:00:00,2018,1,1,3,-26.1,-28.7,0,,,79.0,
GUELPH TURFGRASS,2018-01-01 04:00:00,2018,1,1,4,-24.9,-27.3,0,,,80.0,
GUELPH TURFGRASS,2018-01-01 06:00:00,2018,1,1,6,-25.4,-28.0,0,,,79.0,
GUELPH TURFGRASS,2018-01-01 12:00:00,2018,1,1,12,-11.6,-16.0,16,,,70.0,-19.0
GUELPH TURFGRASS,2018-01-01 17:00:00,2018,1,1,17,-12.4,-15.8,13,,,76.0,-19.0
GUELPH TURFGRASS,2018-01-01 21:00:00,2018,1,1,21,-13.7,-17.0,13,,,76.0,-21.0
GUELPH TURFGRASS,2018-01-01 00:00:00,2018,1,1,0,-25.3,-27.8,0,,,79.0,
GUELPH TURFGRASS,2018-01-01 01:00:00,2018,1,1,1,-25.1,-27.4,0,,,81.0,
GUELPH TURFGRASS,2018-01-01 02:00:00,2018,1,1,2,-25.7,-28.2,0,,,80.0,
GUELPH TURFGRASS,2018-01-01 05:00:00,2018,1,1,5,-23.5,-26.0,0,,,80.0,
GUELPH TURFGRASS,2018-01-01 07:00:00,2018,1,1,7,-24.7,-27.0,4,,,81.0,-29.0
GUELPH TURFGRASS,2018-01-01 08:00:00,2018,1,1,8,-23.5,-25.7,0,,,82.0,
GUELPH TURFGRASS,2018-01-01 09:00:00,2018,1,1,9,-17.8,-19.5,5,,,86.0,-22.0
GUELPH TURFGRASS,2018-01-01 10:00:00,2018,1,1,10,-14.1,-16.2,11,,,84.0,-21.0
GUELPH TURFGRASS,2018-01-01 11:00:00,2018,1,1,11,-12.4,-16.2,18,,,73.0,-20.0
GUELPH TURFGRASS,2018-01-01 13:00:00,2018,1,1,13,-11.0,-15.2,17,,,71.0,-18.0
GUELPH TURFGRASS,2018-01-01 14:00:00,2018,1,1,14,-10.6,-15.1,19,,,70.0,-18.0
GUELPH TURFGRASS,2018-01-01 15:00:00,2018,1,1,15,-11.9,-13.9,26,,,85.0,-21.0
GUELPH TURFGRASS,2018-01-01 16:00:00,2018,1,1,16,-11.9,-15.8,17,,,73.0,-20.0
GUELPH TURFGRASS,2018-01-01 18:00:00,2018,1,1,18,-12.4,-15.6,18,,,77.0,-20.0
GUELPH TURFGRASS,2018-01-01 19:00:00,2018,1,1,19,-12.3,-15.3,15,,,78.0,-20.0
GUELPH TURFGRASS,2018-01-01 20:00:00,2018,1,1,20,-13.6,-17.2,13,,,74.0,-21.0
GUELPH TURFGRASS,2018-01-01 22:00:00,2018,1,1,22,-13.6,-16.0,7,,,83.0,-18.0
GUELPH TURFGRASS,2018-01-01 23:00:00,2018,1,1,23,-13.5,-15.7,3,,,84.0,-16.0
ELORA RCS,2018-01-01 19:00:00,2018,1,1,19,-12.7,-15.2,17,0.0,98.13,81.0,-21.0
ELORA RCS,2018-01-01 00:00:00,2018,1,1,0,-22.5,-24.7,6,0.0,98.24,82.0,-28.0
ELORA RCS,2018-01-01 01:00:00,2018,1,1,1,-23.3,-25.7,3,0.0,98.23,81.0,-26.0
ELORA RCS,2018-01-01 02:00:00,2018,1,1,2,-24.4,-27.0,0,0.0,98.21,79.0,
ELORA RCS,2018-01-01 03:00:00,2018,1,1,3,-24.8,-27.4,0,0.0,98.22,79.0,
ELORA RCS,2018-01-01 04:00:00,2018,1,1,4,-22.7,-25.1,0,1.7,98.16,81.0,
ELORA RCS,2018-01-01 05:00:00,2018,1,1,5,-22.7,-24.9,0,0.0,98.1,82.0,
ELORA RCS,2018-01-01 06:00:00,2018,1,1,6,-22.5,-24.8,0,0.0,98.06,82.0,
ELORA RCS,2018-01-01 07:00:00,2018,1,1,7,-23.2,-25.7,0,0.0,98.04,80.0,
ELORA RCS,2018-01-01 08:00:00,2018,1,1,8,-22.3,-24.6,0,0.0,98.03,81.0,
ELORA RCS,2018-01-01 09:00:00,2018,1,1,9,-20.0,-22.1,4,2.7,98.02,84.0,-23.0
ELORA RCS,2018-01-01 10:00:00,2018,1,1,10,-15.9,-17.6,14,0.0,98.01,87.0,-24.0
ELORA RCS,2018-01-01 11:00:00,2018,1,1,11,-13.8,-15.3,26,0.0,97.99,88.0,-24.0
ELORA RCS,2018-01-01 12:00:00,2018,1,1,12,-12.9,-14.5,29,0.0,97.91,88.0,-23.0
ELORA RCS,2018-01-01 13:00:00,2018,1,1,13,-11.3,-13.4,27,0.0,97.86,85.0,-21.0
ELORA RCS,2018-01-01 14:00:00,2018,1,1,14,-11.2,-15.0,33,0.0,97.81,73.0,-22.0
ELORA RCS,2018-01-01 15:00:00,2018,1,1,15,-12.2,-14.8,28,0.0,97.9,81.0,-22.0
ELORA RCS,2018-01-01 16:00:00,2018,1,1,16,-12.5,-15.5,29,0.0,97.96,78.0,-23.0
ELORA RCS,2018-01-01 17:00:00,2018,1,1,17,-12.5,-15.6,26,0.0,98.0,78.0,-22.0
ELORA RCS,2018-01-01 18:00:00,2018,1,1,18,-12.8,-15.3,19,0.0,98.08,82.0,-21.0
ELORA RCS,2018-01-01 20:00:00,2018,1,1,20,-14.3,-17.4,16,0.0,98.16,78.0,-22.0
ELORA RCS,2018-01-01 21:00:00,2018,1,1,21,-14.3,-17.1,13,0.0,98.18,80.0,-21.0
ELORA RCS,2018-01-01 22:00:00,2018,1,1,22,-14.2,-16.4,7,0.0,98.19,83.0,-19.0
ELORA RCS,2018-01-01 23:00:00,2018,1,1,23,-14.1,-16.1,6,0.0,98.17,85.0,-18.0
BRANTFORD AIRPORT,2018-01-01 00:00:00,2018,1,1,0,-23.5,-25.5,0,0.0,99.93,83.0,
BRANTFORD AIRPORT,2018-01-01 01:00:00,2018,1,1,1,-25.2,-27.7,0,0.0,99.93,80.0,
BRANTFORD AIRPORT,2018-01-01 02:00:00,2018,1,1,2,-24.4,-26.5,6,0.0,99.92,83.0,-30.0
BRANTFORD AIRPORT,2018-01-01 03:00:00,2018,1,1,3,-23.4,-25.5,5,0.0,99.9,83.0,-28.0
BRANTFORD AIRPORT,2018-01-01 04:00:00,2018,1,1,4,-23.0,-25.1,5,0.0,99.85,83.0,-28.0
BRANTFORD AIRPORT,2018-01-01 05:00:00,2018,1,1,5,-22.6,-24.6,7,0.0,99.8,84.0,-29.0
BRANTFORD AIRPORT,2018-01-01 06:00:00,2018,1,1,6,-22.6,-24.6,13,0.0,99.78,84.0,-32.0
BRANTFORD AIRPORT,2018-01-01 07:00:00,2018,1,1,7,-18.9,-20.6,13,0.0,99.77,87.0,-27.0
BRANTFORD AIRPORT,2018-01-01 08:00:00,2018,1,1,8,-19.3,-20.9,16,0.0,99.74,87.0,-29.0
BRANTFORD AIRPORT,2018-01-01 09:00:00,2018,1,1,9,-15.1,-16.6,28,0.0,99.72,89.0,-26.0
BRANTFORD AIRPORT,2018-01-01 10:00:00,2018,1,1,10,-13.8,-15.5,24,0.2,99.74,87.0,-23.0
BRANTFORD AIRPORT,2018-01-01 11:00:00,2018,1,1,11,-13.1,-16.3,30,0.0,99.76,77.0,-24.0
BRANTFORD AIRPORT,2018-01-01 12:00:00,2018,1,1,12,-12.7,-16.3,27,0.0,99.71,74.0,-23.0
BRANTFORD AIRPORT,2018-01-01 13:00:00,2018,1,1,13,-12.7,-16.0,32,0.0,99.63,76.0,-23.0
BRANTFORD AIRPORT,2018-01-01 14:00:00,2018,1,1,14,-12.2,-15.0,34,0.0,99.59,79.0,-23.0
BRANTFORD AIRPORT,2018-01-01 15:00:00,2018,1,1,15,-11.6,-14.2,37,0.0,99.6,81.0,-23.0
BRANTFORD AIRPORT,2018-01-01 16:00:00,2018,1,1,16,-11.6,-14.5,35,0.0,99.65,79.0,-22.0
BRANTFORD AIRPORT,2018-01-01 17:00:00,2018,1,1,17,-12.2,-14.8,31,0.0,99.69,82.0,-23.0
BRANTFORD AIRPORT,2018-01-01 18:00:00,2018,1,1,18,-12.6,-14.9,29,0.0,99.76,83.0,-23.0
BRANTFORD AIRPORT,2018-01-01 19:00:00,2018,1,1,19,-12.5,-14.8,28,0.0,99.81,83.0,-22.0
BRANTFORD AIRPORT,2018-01-01 20:00:00,2018,1,1,20,-12.4,-14.4,25,0.0,99.83,85.0,-22.0
BRANTFORD AIRPORT,2018-01-01 21:00:00,2018,1,1,21,-12.0,-13.9,24,0.0,99.83,86.0,-21.0
BRANTFORD AIRPORT,2018-01-01 22:00:00,2018,1,1,22,-12.1,-14.0,26,0.0,99.85,85.0,-22.0
BRANTFORD AIRPORT,2018-01-01 23:00:00,2018,1,1,23,-11.9,-13.7,24,0.0,99.85,86.0,-21.0
TORONTO INTL A,2018-01-01 00:00:00,2018,1,1,0,-19.5,-24.1,9,,100.89,67.0,-26.0
TORONTO INTL A,2018-01-01 01:00:00,2018,1,1,1,-21.7,-25.7,12,,100.9,71.0,-30.0
TORONTO INTL A,2018-01-01 02:00:00,2018,1,1,2,-19.3,-23.0,9,,100.89,73.0,-26.0
TORONTO INTL A,2018-01-01 03:00:00,2018,1,1,3,-20.3,-23.9,4,,100.88,73.0,-24.0
TORONTO INTL A,2018-01-01 04:00:00,2018,1,1,4,-19.9,-23.2,4,,100.83,75.0,-23.0
TORONTO INTL A,2018-01-01 05:00:00,2018,1,1,5,-18.7,-22.0,0,,100.79,76.0,
TORONTO INTL A,2018-01-01 06:00:00,2018,1,1,6,-17.5,-21.0,5,,100.72,75.0,-21.0
TORONTO INTL A,2018-01-01 07:00:00,2018,1,1,7,-17.4,-20.8,5,,100.68,75.0,-21.0
TORONTO INTL A,2018-01-01 08:00:00,2018,1,1,8,-18.5,-21.6,12,,100.64,77.0,-26.0
TORONTO INTL A,2018-01-01 09:00:00,2018,1,1,9,-14.9,-18.1,21,,100.59,76.0,-24.0
TORONTO INTL A,2018-01-01 10:00:00,2018,1,1,10,-12.8,-16.8,27,,100.59,72.0,-23.0
TORONTO INTL A,2018-01-01 11:00:00,2018,1,1,11,-11.4,-16.3,32,,100.56,67.0,-22.0
TORONTO INTL A,2018-01-01 12:00:00,2018,1,1,12,-10.0,-15.8,37,,100.46,63.0,-20.0
TORONTO INTL A,2018-01-01 13:00:00,2018,1,1,13,-9.7,-15.6,28,,100.39,62.0,-19.0
TORONTO INTL A,2018-01-01 14:00:00,2018,1,1,14,-8.7,-15.0,35,,100.36,61.0,-18.0
TORONTO INTL A,2018-01-01 15:00:00,2018,1,1,15,-10.3,-14.9,33,,100.43,69.0,-20.0
TORONTO INTL A,2018-01-01 16:00:00,2018,1,1,16,-10.6,-17.6,26,,100.49,57.0,-20.0
TORONTO INTL A,2018-01-01 17:00:00,2018,1,1,17,-11.4,-17.8,28,,100.53,59.0,-21.0
TORONTO INTL A,2018-01-01 18:00:00,2018,1,1,18,-12.3,-19.0,29,,100.63,58.0,-22.0
TORONTO INTL A,2018-01-01 19:00:00,2018,1,1,19,-13.2,-19.4,29,,100.69,60.0,-24.0
TORONTO INTL A,2018-01-01 20:00:00,2018,1,1,20,-13.9,-19.7,21,,100.74,62.0,-23.0
TORONTO INTL A,2018-01-01 21:00:00,2018,1,1,21,-14.4,-19.8,21,,100.75,64.0,-24.0
TORONTO INTL A,2018-01-01 22:00:00,2018,1,1,22,-13.9,-19.2,22,,100.75,65.0,-23.0
TORONTO INTL A,2018-01-01 23:00:00,2018,1,1,23,-12.3,-17.8,17,,100.75,64.0,-20.0
TORONTO INTL A,2018-01-02 00:00:00,2018,1,2,0,-11.7,-16.9,10,,100.73,66.0,-17.0
TORONTO INTL A,2018-01-02 01:00:00,2018,1,2,1,-11.3,-16.0,14,,100.68,68.0,-18.0
TORONTO INTL A,2018-01-02 02:00:00,2018,1,2,2,-11.6,-15.6,11,,100.66,73.0,-18.0
TORONTO INTL A,2018-01-02 03:00:00,2018,1,2,3,-11.2,-14.4,10,,100.66,78.0,-17.0
TORONTO INTL A,2018-01-02 04:00:00,2018,1,2,4,-11.3,-14.2,11,,100.61,79.0,-17.0
TORONTO INTL A,2018-01-02 05:00:00,2018,1,2,5,-10.1,-12.9,22,,100.57,80.0,-18.0
TORONTO INTL A,2018-01-02 06:00:00,2018,1,2,6,-9.7,-13.0,36,,100.54,77.0,-20.0
TORONTO INTL A,2018-01-02 07:00:00,2018,1,2,7,-10.5,-13.9,31,,100.52,76.0,-20.0
TORONTO INTL A,2018-01-02 08:00:00,2018,1,2,8,-10.9,-14.4,37,,100.49,76.0,-22.0
TORONTO INTL A,2018-01-02 09:00:00,2018,1,2,9,-11.8,-15.4,28,,100.45,75.0,-22.0
TORONTO INTL A,2018-01-02 10:00:00,2018,1,2,10,-11.3,-15.2,22,,100.37,73.0,-20.0
TORONTO INTL A,2018-01-02 11:00:00,2018,1,2,11,-10.4,-14.7,27,,100.32,71.0,-20.0
TORONTO INTL A,2018-01-02 12:00:00,2018,1,2,12,-9.7,-14.3,29,,100.23,70.0,-19.0
TORONTO INTL A,2018-01-02 13:00:00,2018,1,2,13,-8.7,-13.5,37,,100.11,69.0,-19.0
TORONTO INTL A,2018-01-02 14:00:00,2018,1,2,14,-8.2,-13.2,36,,100.04,67.0,-18.0
TORONTO INTL A,2018-01-02 15:00:00,2018,1,2,15,-8.2,-13.1,39,,100.01,68.0,-18.0
TORONTO INTL A,2018-01-02 16:00:00,2018,1,2,16,-8.4,-13.3,34,,100.05,68.0,-18.0
TORONTO INTL A,2018-01-02 17:00:00,2018,1,2,17,-9.1,-14.1,26,,100.05,67.0,-18.0
TORONTO INTL A,2018-01-02 18:00:00,2018,1,2,18,-10.7,-15.3,22,,100.11,70.0,-19.0
TORONTO INTL A,2018-01-02 19:00:00,2018,1,2,19,-10.9,-15.4,18,,100.09,70.0,-19.0
TORONTO INTL A,2018-01-02 20:00:00,2018,1,2,20,-11.2,-15.9,23,,100.03,68.0,-20.0
TORONTO INTL A,2018-01-02 21:00:00,2018,1,2,21,-12.0,-16.9,15,,99.95,67.0,-19.0
TORONTO INTL A,2018-01-02 22:00:00,2018,1,2,22,-12.1,-17.0,26,,99.88,67.0,-22.0
TORONTO INTL A,2018-01-02 23:00:00,2018,1,2,23,-12.3,-17.2,39,,99.85,67.0,-24.0
HAMILTON A,2018-01-02 17:00:00,2018,1,2,17,-9.3,-12.8,41,,99.34,76.0,-20.0
HAMILTON A,2018-01-02 16:00:00,2018,1,2,16,-8.7,-13.0,35,,99.37,71.0,-18.0
HAMILTON A,2018-01-01 00:00:00,2018,1,1,0,-23.8,-25.5,11,,100.08,86.0,-32.0
HAMILTON A,2018-01-01 01:00:00,2018,1,1,1,-22.8,-24.6,11,,100.07,85.0,-31.0
HAMILTON A,2018-01-01 02:00:00,2018,1,1,2,-22.8,-24.6,12,,100.06,86.0,-31.0
HAMILTON A,2018-01-01 03:00:00,2018,1,1,3,-23.4,-25.1,11,,100.06,86.0,-32.0
HAMILTON A,2018-01-01 04:00:00,2018,1,1,4,-21.9,-23.8,7,,100.03,85.0,-28.0
HAMILTON A,2018-01-01 05:00:00,2018,1,1,5,-20.7,-22.8,7,,99.98,84.0,-26.0
HAMILTON A,2018-01-01 06:00:00,2018,1,1,6,-21.1,-22.9,9,,99.95,85.0,-28.0
HAMILTON A,2018-01-01 07:00:00,2018,1,1,7,-20.8,-22.6,12,,99.93,85.0,-29.0
HAMILTON A,2018-01-01 08:00:00,2018,1,1,8,-20.0,-22.0,15,,99.91,84.0,-29.0
HAMILTON A,2018-01-01 09:00:00,2018,1,1,9,-17.8,-19.9,17,,99.88,84.0,-27.0
HAMILTON A,2018-01-01 10:00:00,2018,1,1,10,-15.2,-17.4,17,,99.9,84.0,-24.0
HAMILTON A,2018-01-01 11:00:00,2018,1,1,11,-13.1,-16.3,22,,99.89,77.0,-22.0
HAMILTON A,2018-01-01 12:00:00,2018,1,1,12,-11.7,-17.1,28,,99.83,65.0,-21.0
HAMILTON A,2018-01-01 13:00:00,2018,1,1,13,-11.5,-16.9,26,,99.76,65.0,-21.0
HAMILTON A,2018-01-01 14:00:00,2018,1,1,14,-12.0,-16.2,25,,99.73,71.0,-21.0
