YEAR,MONTH,DAY,HOUR,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Spd (km/h),WIND CHILL CALCULATION
2018,1,3,2,-10.7,-13.6,79.0,27.0,-19.887792351974035
2018,1,3,3,-10.7,-14.0,77.0,28.0,-20.042172463520927
2018,1,3,4,-10.6,-14.1,76.0,25.0,-19.43642973784482
2018,1,3,5,-10.6,-14.3,75.0,27.0,-19.759359042440632
2018,1,3,6,-9.8,-13.6,74.0,31.0,-19.30963059283919
2018,1,3,7,-9.6,-12.8,77.0,20.0,-17.26944990178253
2018,1,3,8,-11.0,-15.1,72.0,26.0,-20.11261874684922
2018,1,3,9,-11.0,-14.3,77.0,18.0,-18.598725255982863
2018,1,3,10,-10.7,-13.3,81.0,13.0,-16.968239304263115
2018,1,3,11,-9.0,-12.2,78.0,22.0,-16.888468808765044
2018,1,3,12,-8.0,-11.6,76.0,26.0,-16.271753285871107
2018,1,3,13,-7.8,-11.7,74.0,28.0,-16.306236533312248
2018,1,3,14,-7.7,-11.6,74.0,27.0,-16.034793065971872
2018,1,3,15,-7.9,-10.8,79.0,30.0,-16.709413280371734
2018,1,3,16,-7.8,-10.0,84.0,25.0,-15.863318866076856
2018,1,3,17,-7.9,-9.6,87.0,21.0,-15.323177380279809
2018,1,3,18,-7.7,-9.8,84.0,25.0,-15.735707763513716
2018,1,3,19,-7.8,-9.5,88.0,22.0,-15.373257813068662
2018,1,3,20,-8.3,-10.2,86.0,23.0,-16.176190494399123
2018,1,3,21,-9.2,-11.7,83.0,17.0,-16.14578472011778
2018,1,3,22,-10.0,-12.2,84.0,17.0,-17.134904758553596
2018,1,3,23,-10.2,-12.8,81.0,17.0,-17.382184768162546
2018,1,3,24,-10.5,-13.0,82.0,15.0,-17.268498269875103
2018,1,4,1,-10.4,-12.9,82.0,14.0,-16.883760233175494
2018,1,4,2,-10.5,-12.9,82.0,15.0,-17.268498269875103
2018,1,4,3,-10.6,-12.8,84.0,14.0,-17.127223546188013
2018,1,4,4,-10.6,-12.6,86.0,14.0,-17.127223546188013
2018,1,4,5,-10.8,-12.7,87.0,12.0,-16.789016992324726
2018,1,4,6,-10.7,-12.5,87.0,11.0,-16.347526456343743
2018,1,4,7,-11.9,-13.3,90.0,0.0,5.831249999999998
2018,1,4,8,-12.0,-15.3,77.0,18.0,-19.840857256364085
2018,1,4,9,-12.9,-17.0,71.0,22.0,-21.812904544778288
2018,1,4,10,-13.0,-17.6,69.0,26.0,-22.673195720834627
2018,1,4,11,-12.7,-17.5,68.0,25.0,-22.116262891670797
2018,1,4,12,-12.0,-17.8,62.0,21.0,-20.480380441042502
2018,1,4,13,-12.1,-18.4,60.0,28.0,-21.845727740173395
2018,1,4,14,-11.9,-18.6,58.0,22.0,-20.550228715031302
2018,1,4,15,-12.3,-19.1,58.0,28.0,-22.10337849398089
2018,1,4,16,-13.0,-19.9,57.0,28.0,-23.00515613230713
2018,1,4,17,-13.8,-20.4,58.0,21.0,-22.744518370157834
2018,1,4,18,-15.6,-21.0,64.0,23.0,-25.42760128814124
2018,1,4,19,-16.7,-21.7,66.0,20.0,-26.164586257637875
2018,1,4,20,-17.1,-21.8,67.0,23.0,-27.328576108773184
2018,1,4,21,-17.2,-22.3,65.0,22.0,-27.24241061269032
2018,1,4,22,-17.3,-22.8,63.0,18.0,-26.42415685838457
2018,1,4,23,-17.2,-22.8,63.0,26.0,-28.050407366203984
2018,1,4,24,-17.7,-22.8,65.0,25.0,-28.49681801982787
2018,1,5,1,-18.2,-22.9,67.0,19.0,-27.79850659505828
2018,1,5,2,-18.7,-23.2,68.0,19.0,-28.42230780522224
2018,1,5,3,-19.1,-23.7,67.0,16.0,-28.0984130143916
2018,1,5,4,-19.6,-23.8,69.0,15.0,-28.40717160175671
2018,1,5,5,-19.9,-24.1,70.0,11.0,-27.336224203185274
2018,1,5,6,-20.1,-24.2,70.0,15.0,-29.01918661999196
2018,1,5,7,-20.9,-24.5,73.0,9.0,-27.619083522020997
2018,1,5,8,-20.6,-24.3,73.0,11.0,-28.172320770879743
2018,1,5,9,-20.4,-24.7,69.0,14.0,-29.056925883801608
2018,1,5,10,-20.8,-24.8,71.0,10.0,-27.975481070677013
2018,1,5,11,-18.6,-24.6,60.0,16.0,-27.483224258556213
2018,1,5,12,-17.5,-24.4,56.0,24.0,-28.042103683812623
2018,1,5,13,-16.6,-24.1,53.0,21.0,-26.26651070433724
2018,1,5,14,-16.3,-24.3,51.0,24.0,-26.515954769618155
2018,1,5,15,-16.3,-24.4,51.0,35.0,-28.361104542089528
2018,1,5,16,-16.4,-24.1,52.0,29.0,-27.55672224419626
2018,1,5,17,-16.6,-24.0,54.0,30.0,-27.98247868572372
2018,1,5,18,-17.5,-23.8,58.0,19.0,-26.925184900828743
2018,1,5,19,-18.3,-23.6,64.0,13.0,-26.16566383257313
2018,1,5,20,-19.6,-24.0,69.0,12.0,-27.37173648796237
2018,1,5,21,-19.6,-23.6,71.0,14.0,-28.083072631751527
2018,1,5,22,-20.1,-23.1,78.0,8.0,-26.165104346933617
2018,1,5,23,-19.2,-22.3,77.0,5.0,-23.19814011021239
2018,1,5,24,-18.4,-22.7,70.0,18.0,-27.79050205880391
2018,1,6,1,-19.4,-24.0,67.0,17.0,-28.757065210174403
2018,1,6,2,-20.3,-24.7,69.0,12.0,-28.213543720569906
2018,1,6,3,-21.0,-25.4,68.0,10.0,-28.21260444449716
2018,1,6,4,-21.9,-25.8,71.0,9.0,-28.795119947820723
2018,1,6,5,-23.1,-26.2,76.0,9.0,-30.206363658780397
2018,1,6,6,-23.8,-26.4,79.0,10.0,-31.532331677979293
2018,1,6,7,-23.6,-26.1,80.0,10.0,-31.29520830415914
2018,1,6,8,-23.4,-26.4,77.0,14.0,-32.70887557898944
2018,1,6,9,-23.6,-26.5,77.0,14.0,-32.95233889200197
2018,1,6,10,-22.3,-25.7,74.0,12.0,-30.61870724230573
2018,1,6,11,-19.8,-25.2,63.0,17.0,-29.251625229392317
2018,1,6,12,-18.3,-24.8,57.0,17.0,-27.39702515732516
2018,1,6,13,-16.9,-24.5,52.0,21.0,-26.64386702585645
2018,1,6,14,-16.5,-24.7,50.0,22.0,-26.358537531867437
2018,1,6,15,-16.2,-24.9,48.0,23.0,-26.187991216394018
2018,1,6,16,-16.1,-24.5,49.0,14.0,-23.82246465403238
2018,1,6,17,-16.4,-25.0,48.0,16.0,-24.7763937328805
2018,1,6,18,-17.4,-24.9,53.0,10.0,-23.944383715734425
2018,1,6,19,-18.5,-24.8,59.0,7.0,-23.74879844024556
2018,1,6,20,-20.4,-24.7,69.0,8.0,-26.514759106046
2018,1,6,21,-20.2,-23.9,72.0,6.0,-25.065726127569437
2018,1,6,22,-21.4,-24.2,78.0,9.0,-28.207101734920855
2018,1,6,23,-22.1,-24.5,81.0,9.0,-29.03032723298067
2018,1,6,24,-22.7,-24.8,83.0,8.0,-29.19544559257425
2018,1,7,1,-23.4,-25.4,84.0,10.0,-31.058084930338985
2018,1,7,2,-22.8,-24.6,85.0,9.0,-29.85355273104048
2018,1,7,3,-22.4,-24.2,86.0,8.0,-28.84579083346187
2018,1,7,4,-22.0,-23.8,85.0,8.0,-28.379584487978697
2018,1,7,5,-22.4,-24.5,84.0,8.0,-28.84579083346187
2018,1,7,6,-21.8,-24.2,82.0,9.0,-28.67751630524075
2018,1,7,7,-22.2,-24.7,80.0,9.0,-29.14793087556064
2018,1,7,8,-21.2,-23.7,80.0,14.0,-30.0307791358517
2018,1,7,9,-16.9,-19.5,81.0,23.0,-27.075112799355598
2018,1,7,10,-14.7,-17.4,80.0,21.0,-23.87658733471549
2018,1,7,11,-13.0,-16.6,75.0,31.0,-23.46754634211286
2018,1,7,12,-11.2,-16.0,68.0,37.0,-21.91514247919256
2018,1,7,13,-11.1,-16.2,66.0,32.0,-21.137917032655334
2018,1,7,14,-10.9,-15.9,67.0,32.0,-20.87734771331657
2018,1,7,15,-10.5,-15.1,69.0,36.0,-20.870711803922244
2018,1,7,16,-9.3,-14.9,64.0,32.0,-18.79279315860645
2018,1,7,17,-8.6,-15.3,58.0,38.0,-18.598181806449123
2018,1,7,18,-8.2,-12.9,69.0,35.0,-17.727294549766224
2018,1,7,19,-7.4,-10.9,76.0,35.0,-16.677041711018244
2018,1,7,20,-6.1,-11.1,68.0,34.0,-14.857687783059657
2018,1,7,21,-5.0,-11.0,63.0,35.0,-13.526283194774305
2018,1,7,22,-4.2,-11.0,59.0,27.0,-11.539627232302678
2018,1,7,23,-3.3,-10.2,59.0,36.0,-11.395657706560955
2018,1,7,24,-2.5,-9.0,61.0,46.0,-11.22011333175332
2018,1,8,1,-2.9,-5.4,83.0,43.0,-11.509821412808638
2018,1,8,2,-2.7,-4.4,89.0,43.0,-11.24256822382988
2018,1,8,3,-2.9,-3.9,93.0,34.0,-10.667046185865871
2018,1,8,4,-3.2,-4.3,92.0,28.0,-10.38026919573986
2018,1,8,5,-3.2,-4.2,93.0,31.0,-10.73392935996224
2018,1,8,6,-3.2,-4.2,93.0,31.0,-10.73392935996224
2018,1,8,7,-2.6,-3.5,94.0,28.0,-9.607316934317373
2018,1,8,8,-1.8,-2.4,95.0,30.0,-8.805309950182414
2018,1,8,9,-1.4,-1.9,96.0,34.0,-8.702682937181285
2018,1,8,10,-0.5,-1.2,95.0,36.0,-7.7109144464760115
2018,1,8,11,0.6,-0.5,92.0,37.0,-6.350111227301555
2018,1,8,12,0.6,-0.4,93.0,40.0,-6.599112319435934
2018,1,8,13,0.9,-0.4,91.0,42.0,-6.356466762314611
2018,1,8,14,0.9,-0.5,91.0,33.0,-5.598398147760985
2018,1,8,15,0.8,-0.3,92.0,27.0,-5.1179617556324
2018,1,8,16,0.8,0.0,95.0,26.0,-5.005214600335317
2018,1,8,17,1.0,-0.2,92.0,30.0,-5.177196946161084
2018,1,8,18,1.1,-0.5,89.0,23.0,-4.263414951772281
2018,1,8,19,1.0,-0.8,87.0,26.0,-4.749156902936775
2018,1,8,20,1.0,-1.0,87.0,28.0,-4.969603365782458
2018,1,8,21,1.0,-1.0,87.0,28.0,-4.969603365782458
2018,1,8,22,1.0,-1.0,87.0,27.0,-4.861095136565589
2018,1,8,23,0.8,-1.4,86.0,24.0,-4.76833274234692
2018,1,8,24,0.6,-1.5,86.0,23.0,-4.897073225316261
2018,1,9,1,1.0,-3.0,75.0,17.0,-3.534504230061158
2018,1,9,2,0.6,-4.2,70.0,24.0,-5.022690894712666
2018,1,9,3,0.2,-4.9,68.0,21.0,-5.134556699260824
2018,1,9,4,-0.3,-4.6,73.0,21.0,-5.763483901792861
2018,1,9,5,-0.6,-3.5,81.0,26.0,-6.797618482125102
2018,1,9,6,-1.6,-3.9,84.0,17.0,-6.749144354977553
2018,1,9,7,-2.7,-4.4,88.0,14.0,-7.510422682193381
2018,1,9,8,-2.9,-4.4,89.0,15.0,-7.965869992699262
2018,1,9,9,-2.9,-4.5,89.0,14.0,-7.753885995205902
2018,1,9,10,-3.2,-4.7,90.0,12.0,-7.649395609728585
2018,1,9,11,-2.7,-5.0,84.0,13.0,-7.286739800778895
2018,1,9,12,-1.8,-7.2,67.0,19.0,-7.337826901680578
2018,1,9,13,-1.5,-7.1,66.0,18.0,-6.798471252361246
2018,1,9,14,-1.6,-7.3,65.0,23.0,-7.685169628909778
2018,1,9,15,-1.5,-7.3,65.0,23.0,-7.55843797420098
2018,1,9,16,-1.7,-6.7,69.0,19.0,-7.213066659647787
2018,1,9,17,-1.6,-7.6,64.0,16.0,-6.566806560153009
2018,1,9,18,-2.3,-7.2,69.0,9.0,-5.74480600214611
2018,1,9,19,-2.3,-7.5,68.0,4.0,-3.620683385082152
2018,1,9,20,-3.1,-7.0,74.0,7.0,-5.979878208974477
2018,1,9,21,-3.2,-6.9,76.0,7.0,-6.095260807878836
2018,1,9,22,-3.7,-7.5,75.0,3.0,-4.450238600593215
2018,1,9,23,-4.7,-7.3,82.0,0.0,10.24125
2018,1,9,24,-5.8,-7.6,87.0,3.0,-6.729151720880502
2018,1,10,1,-7.6,-9.9,84.0,8.0,-11.59615605058442
2018,1,10,2,-7.7,-8.4,95.0,4.0,-9.600983923335397
2018,1,10,3,-8.2,-9.6,90.0,7.0,-11.864390753096718
2018,1,10,4,-6.6,-8.9,84.0,11.0,-11.450389416990456
2018,1,10,5,-7.8,-8.6,94.0,4.0,-9.711730229599343
2018,1,10,6,-7.8,-8.2,97.0,7.0,-11.402860357479288
2018,1,10,7,-7.7,-8.1,97.0,9.0,-12.095402701464629
2018,1,10,8,-7.6,-8.2,96.0,8.0,-11.59615605058442
2018,1,10,9,-8.1,-9.2,92.0,11.0,-13.24202491919288
2018,1,10,10,-6.3,-7.1,94.0,11.0,-11.09206231654997
2018,1,10,11,-5.2,-6.1,93.0,8.0,-8.798917977685376
2018,1,10,12,-2.9,-4.8,86.0,10.0,-6.7529391137734
2018,1,10,13,-0.4,-3.8,77.0,10.0,-3.788896941021499
2018,1,10,14,0.4,-3.5,75.0,10.0,-2.8404034457408924
2018,1,10,15,1.4,-1.6,80.0,11.0,-1.8950000719108648
2018,1,10,16,0.8,0.3,97.0,8.0,-1.8058227954377608
2018,1,10,17,0.6,0.5,99.0,5.0,-0.9141515751572656
2018,1,10,18,0.1,0.0,99.0,8.0,-2.6216839000333163
2018,1,10,19,0.3,0.2,100.0,5.0,-1.2517877650823432
2018,1,10,20,3.4,3.4,100.0,18.0,-0.712024450493256
2018,1,10,21,4.3,2.9,91.0,21.0,0.0226463615018714
2018,1,10,22,4.5,3.0,90.0,22.0,0.1576548928192576
2018,1,10,23,4.9,2.8,86.0,26.0,0.2439681963347681
2018,1,10,24,5.3,2.6,83.0,25.0,0.8537355696946891
2018,1,11,1,5.4,2.1,79.0,24.0,1.0819047620652236
2018,1,11,2,5.3,2.5,82.0,24.0,0.9547256858823524
2018,1,11,3,5.7,2.4,79.0,23.0,1.5662411648323429
2018,1,11,4,6.0,3.2,83.0,27.0,1.560570340104686
2018,1,11,5,6.2,3.5,83.0,26.0,1.908343229425284
2018,1,11,6,6.1,3.3,82.0,22.0,2.1779362204144346
2018,1,11,7,6.6,3.6,81.0,25.0,2.5126799030155302
2018,1,11,8,6.6,4.2,84.0,25.0,2.5126799030155302
2018,1,11,9,6.8,4.6,86.0,26.0,2.6765163216209054
2018,1,11,10,7.7,5.0,83.0,32.0,3.3555989851886032
2018,1,11,11,8.0,5.2,82.0,27.0,4.129236530772798
2018,1,11,12,8.3,5.3,81.0,29.0,4.357123566410383
2018,1,11,13,9.2,5.7,79.0,28.0,5.594077540324846
2018,1,11,14,9.6,6.1,79.0,25.0,6.341012979909776
2018,1,11,15,10.7,7.0,78.0,31.0,7.327017175945272
2018,1,11,16,10.6,7.2,80.0,22.0,7.859977454275869
2018,1,11,17,9.4,8.2,92.0,28.0,5.851728294132341
2018,1,11,18,9.9,9.7,99.0,27.0,6.569469411907503
2018,1,11,19,10.0,9.8,99.0,17.0,7.593096202341742
2018,1,11,20,9.5,9.3,99.0,22.0,6.471034041554184
2018,1,11,21,8.9,8.8,99.0,18.0,6.11970155160347
2018,1,11,22,8.9,8.8,99.0,26.0,5.365122144305582
2018,1,11,23,9.3,9.1,99.0,30.0,5.577566601473567
2018,1,11,24,9.8,9.6,99.0,34.0,5.96456265299697
2018,1,12,1,10.4,10.1,98.0,30.0,7.002896710196233
2018,1,12,2,11.0,10.7,98.0,28.0,7.912934324592307
2018,1,12,3,10.8,10.4,98.0,22.0,8.112512620225266
2018,1,12,4,10.7,10.4,99.0,26.0,7.669641420892447
2018,1,12,5,10.3,10.2,99.0,21.0,7.569772791886305
2018,1,12,6,10.2,10.0,99.0,16.0,7.951648077562153
2018,1,12,7,9.8,9.7,99.0,14.0,7.70603438108927
2018,1,12,8,10.2,10.1,100.0,15.0,8.068923485064358
2018,1,12,9,10.0,9.9,100.0,12.0,8.22468363372787
2018,1,12,10,10.0,9.9,100.0,5.0,9.665115709161832
2018,1,12,11,3.2,2.8,97.0,29.0,-2.2323749612857253
2018,1,12,12,2.0,1.3,95.0,26.0,-3.468868415944073
2018,1,12,13,1.4,0.6,94.0,25.0,-4.1230974302678325
2018,1,12,14,0.6,-0.3,94.0,19.0,-4.343581092893597
2018,1,12,15,-0.3,-1.4,92.0,23.0,-6.037658117695426
2018,1,12,16,-3.0,-4.2,91.0,30.0,-10.36021552333441
2018,1,12,17,-5.5,-7.4,86.0,29.0,-13.473284214414385
2018,1,12,18,-6.9,-8.4,89.0,22.0,-14.236849566296376
2018,1,12,19,-7.4,-9.3,86.0,29.0,-15.928195430614895
2018,1,12,20,-7.4,-11.2,74.0,32.0,-16.317384624888177
2018,1,12,21,-7.7,-11.4,75.0,21.0,-15.071606499266997
2018,1,12,22,-8.8,-11.1,84.0,26.0,-17.29598407546527
2018,1,12,23,-8.9,-12.9,73.0,27.0,-17.575992780372736
2018,1,12,24,-9.2,-14.1,68.0,31.0,-18.530021389850376
2018,1,13,1,-9.6,-14.3,69.0,25.0,-18.160318712213403
2018,1,13,2,-10.2,-14.8,69.0,34.0,-20.226947329464195
2018,1,13,3,-10.3,-15.1,68.0,26.0,-19.216416805954328
2018,1,13,4,-10.8,-16.3,64.0,34.0,-21.012692628938037
2018,1,13,5,-11.2,-16.2,67.0,36.0,-21.79189761894348
2018,1,13,6,-11.5,-16.9,65.0,28.0,-21.072775478750916
2018,1,13,7,-12.0,-18.3,60.0,32.0,-22.310478969679775
2018,1,13,8,-12.2,-18.4,60.0,29.0,-22.13007639785829
2018,1,13,9,-12.8,-17.8,67.0,24.0,-22.064687103217608
2018,1,13,10,-13.1,-18.7,63.0,25.0,-22.62670730192336
2018,1,13,11,-12.9,-19.4,59.0,24.0,-22.19186617940048
2018,1,13,12,-12.2,-18.3,61.0,17.0,-19.85498486425208
2018,1,13,13,-12.1,-19.2,56.0,18.0,-19.96507045640221
2018,1,13,14,-11.6,-19.2,54.0,26.0,-20.88079183904484
2018,1,13,15,-11.4,-19.2,53.0,21.0,-19.72566779800406
2018,1,13,16,-11.6,-18.8,56.0,16.0,-18.870581676860773
2018,1,13,17,-12.0,-19.1,56.0,21.0,-20.480380441042502
2018,1,13,18,-12.5,-20.4,52.0,18.0,-20.461923256554694
2018,1,13,19,-13.5,-20.0,58.0,15.0,-20.940588379286623
2018,1,13,20,-14.2,-19.7,63.0,12.0,-20.87779497927563
2018,1,13,21,-14.8,-19.9,65.0,10.0,-20.86177985607245
2018,1,13,22,-15.1,-19.9,68.0,9.0,-20.798072252382592
2018,1,13,23,-16.4,-19.1,80.0,7.0,-21.325763863254046
2018,1,13,24,-16.5,-18.9,82.0,7.0,-21.441146462158407
2018,1,14,1,-16.5,-18.4,85.0,5.0,-20.159414400886693
2018,1,14,2,-17.1,-19.1,85.0,7.0,-22.133442055584556
2018,1,14,3,-17.1,-18.9,87.0,9.0,-23.15014510398204
2018,1,14,4,-16.9,-18.8,85.0,8.0,-22.435453583068224
2018,1,14,5,-16.6,-18.6,84.0,8.0,-22.085798823955848
2018,1,14,6,-16.4,-18.2,86.0,4.0,-19.23591256829895
2018,1,14,7,-16.8,-18.4,88.0,7.0,-21.787294258871484
2018,1,14,8,-16.8,-18.4,87.0,8.0,-22.318901996697434
2018,1,14,9,-16.7,-18.3,88.0,8.0,-22.20235041032664
2018,1,14,10,-13.8,-15.2,89.0,9.0,-19.26922489884295
2018,1,14,11,-11.8,-14.2,82.0,9.0,-16.917152047243498
2018,1,14,12,-9.7,-15.3,64.0,13.0,-15.758051866327593
2018,1,14,13,-8.6,-15.3,59.0,16.0,-15.179449141848444
2018,1,14,14,-8.3,-16.3,53.0,14.0,-14.327395446544008
2018,1,14,15,-8.0,-15.3,56.0,10.0,-12.799585146187278
2018,1,14,16,-7.9,-15.7,54.0,3.0,-9.008064841167792
2018,1,14,17,-7.7,-15.1,56.0,18.0,-14.499689654724827
2018,1,14,18,-10.0,-14.5,70.0,7.0,-13.941277533375157
2018,1,14,19,-9.4,-13.9,70.0,11.0,-14.794775687768311
2018,1,14,20,-9.7,-13.8,72.0,8.0,-14.043739364371085
2018,1,14,21,-10.4,-12.3,86.0,10.0,-15.645065632029103
2018,1,14,22,-11.4,-12.8,90.0,9.0,-16.44673747692361
2018,1,14,23,-10.6,-14.2,75.0,13.0,-16.847220560469566
2018,1,14,24,-10.8,-14.8,73.0,18.0,-18.35029885590662
2018,1,15,1,-11.5,-14.8,77.0,14.0,-18.222808454744367
2018,1,15,2,-11.4,-14.9,76.0,18.0,-19.095578056135352
2018,1,15,3,-11.5,-15.1,75.0,21.0,-19.85145323851047
2018,1,15,4,-12.0,-15.9,73.0,19.0,-20.063371589025245
2018,1,15,5,-12.0,-16.5,69.0,21.0,-20.480380441042502
2018,1,15,6,-12.1,-17.0,67.0,21.0,-20.60616588154891
2018,1,15,7,-12.1,-17.4,65.0,23.0,-20.991993373333376
2018,1,15,8,-12.0,-17.0,67.0,21.0,-20.480380441042502
2018,1,15,9,-12.0,-17.1,66.0,22.0,-20.676496298006
2018,1,15,10,-11.8,-16.8,67.0,18.0,-19.59243085628784
2018,1,15,11,-11.3,-15.9,69.0,15.0,-18.24772229905151
2018,1,15,12,-10.5,-15.5,67.0,15.0,-17.268498269875103
2018,1,15,13,-10.1,-15.0,67.0,14.0,-16.518565263656708
2018,1,15,14,-9.9,-14.4,70.0,14.0,-16.275101950644185
2018,1,15,15,-9.9,-12.4,83.0,17.0,-17.011264753749117
2018,1,15,16,-9.5,-12.0,82.0,18.0,-16.73552725541103
2018,1,15,17,-9.2,-11.7,82.0,17.0,-16.14578472011778
2018,1,15,18,-9.0,-11.0,86.0,18.0,-16.11446125522042
2018,1,15,19,-8.8,-10.3,89.0,18.0,-15.866034855144177
2018,1,15,20,-8.6,-9.8,90.0,17.0,-15.40394469129092
2018,1,15,21,-8.0,-9.2,91.0,15.0,-14.20842317869884
2018,1,15,22,-8.3,-9.5,91.0,12.0,-13.782562590154942
2018,1,15,23,-7.9,-8.9,93.0,10.0,-12.681023459277204
2018,1,15,24,-7.6,-8.5,93.0,10.0,-12.325338398546972
2018,1,16,1,-7.7,-8.5,94.0,9.0,-12.095402701464629
2018,1,16,2,-6.2,-7.0,94.0,11.0,-10.972619949736478
2018,1,16,3,-6.0,-6.9,93.0,7.0,-9.32597357720085
2018,1,16,4,-5.9,-6.8,94.0,5.0,-8.229602356867282
2018,1,16,5,-5.9,-6.6,95.0,3.0,-6.837671393275136
2018,1,16,6,-5.8,-6.4,95.0,7.0,-9.095208379392137
2018,1,16,7,-5.7,-6.5,94.0,9.0,-9.743329849865177
2018,1,16,8,-6.5,-7.5,93.0,10.0,-11.02115984253614
2018,1,16,9,-6.2,-7.3,92.0,22.0,-13.352976485473487
2018,1,16,10,-7.1,-9.1,86.0,12.0,-12.339464477113449
2018,1,16,11,-6.5,-8.7,85.0,14.0,-12.136225629431308
2018,1,16,12,-6.0,-9.0,80.0,18.0,-12.38806525407675
2018,1,16,13,-5.1,-8.3,78.0,8.0,-8.68236639131458
2018,1,16,14,-5.0,-8.9,74.0,12.0,-9.814042779290828
2018,1,16,15,-5.5,-8.0,82.0,15.0,-11.148348087522578
2018,1,16,16,-6.1,-8.8,81.0,14.0,-11.64929900340626
2018,1,16,17,-6.8,-9.5,81.0,14.0,-12.50142059895009
2018,1,16,18,-7.5,-10.3,80.0,17.0,-14.043904638441678
2018,1,16,19,-8.2,-10.5,84.0,16.0,-14.687298137180132
2018,1,16,20,-9.4,-11.6,84.0,22.0,-17.39353914066384
2018,1,16,21,-10.9,-14.1,78.0,23.0,-19.471213516827824
2018,1,16,22,-13.7,-15.8,84.0,10.0,-19.557601300061613
2018,1,16,23,-13.9,-15.4,89.0,14.0,-21.144368210894637
2018,1,16,24,-12.5,-13.9,89.0,9.0,-17.740377545303307
2018,1,17,1,-11.2,-12.8,89.0,12.0,-17.27004969667189
2018,1,17,2,-11.0,-12.6,88.0,17.0,-18.371304806598364
2018,1,17,3,-10.9,-12.8,86.0,14.0,-17.4924185157068
2018,1,17,4,-10.8,-12.7,86.0,17.0,-18.12402479698941
